aogcm,sector,smb_clim,st_clim
access1.3_rcp85,1,-329.42041015625,-21.678178787231445
access1.3_rcp85,2,88.2178726196289,-21.407285690307617
access1.3_rcp85,3,-237.99729919433594,-13.324285507202148
access1.3_rcp85,4,-1558.591064453125,-12.906978607177734
access1.3_rcp85,5,-397.6191101074219,-19.4388370513916
access1.3_rcp85,6,-273.8917236328125,-20.73740005493164
cesm2_ssp585,1,-110.51466369628906,-20.25293731689453
cesm2_ssp585,2,81.52497100830078,-20.977031707763672
cesm2_ssp585,3,-354.8780517578125,-12.67309284210205
cesm2_ssp585,4,-1777.17919921875,-11.367147445678711
cesm2_ssp585,5,-339.1300048828125,-18.49027442932129
cesm2_ssp585,6,-123.33543395996094,-19.175952911376953
cnrm-cm6_ssp126,1,-39.94900131225586,-23.046560287475586
cnrm-cm6_ssp126,2,-31.351520538330078,-22.974958419799805
cnrm-cm6_ssp126,3,-344.45172119140625,-13.752259254455566
cnrm-cm6_ssp126,4,-1719.4346923828125,-12.465727806091309
cnrm-cm6_ssp126,5,-415.0384826660156,-19.7835693359375
cnrm-cm6_ssp126,6,-121.79953002929688,-20.96809196472168
cnrm-cm6_ssp585,1,-39.94900131225586,-23.046560287475586
cnrm-cm6_ssp585,2,-31.351520538330078,-22.974958419799805
cnrm-cm6_ssp585,3,-344.45172119140625,-13.752259254455566
cnrm-cm6_ssp585,4,-1719.4346923828125,-12.465727806091309
cnrm-cm6_ssp585,5,-415.0384826660156,-19.7835693359375
cnrm-cm6_ssp585,6,-121.79953002929688,-20.96809196472168
cnrm-esm2_ssp585,1,-191.83255004882812,-22.910926818847656
cnrm-esm2_ssp585,2,-62.998130798339844,-23.27265167236328
cnrm-esm2_ssp585,3,-453.8560791015625,-14.2850341796875
cnrm-esm2_ssp585,4,-1926.751953125,-12.664778709411621
cnrm-esm2_ssp585,5,-523.27197265625,-20.334218978881836
cnrm-esm2_ssp585,6,-308.67559814453125,-21.25322723388672
csiro-mk3.6_rcp85,1,-229.5518798828125,-22.57414436340332
csiro-mk3.6_rcp85,2,54.1877555847168,-21.962406158447266
csiro-mk3.6_rcp85,3,199.85064697265625,-12.836878776550293
csiro-mk3.6_rcp85,4,-1666.37939453125,-10.601383209228516
csiro-mk3.6_rcp85,5,-395.1684875488281,-17.819482803344727
csiro-mk3.6_rcp85,6,-343.2854309082031,-19.988704681396484
hadgem2-es_rcp85,1,-241.16690063476562,-22.82611846923828
hadgem2-es_rcp85,2,100.06017303466797,-21.591726303100586
hadgem2-es_rcp85,3,-210.0625762939453,-13.034294128417969
hadgem2-es_rcp85,4,-1463.8544921875,-13.563820838928223
hadgem2-es_rcp85,5,-277.78289794921875,-20.099966049194336
hadgem2-es_rcp85,6,-122.54265594482422,-21.61536407470703
ipsl-cm5-mr_rcp85,1,-243.267822265625,-20.09109115600586
ipsl-cm5-mr_rcp85,2,-26.005599975585938,-21.449769973754883
ipsl-cm5-mr_rcp85,3,-108.09173583984375,-13.614983558654785
ipsl-cm5-mr_rcp85,4,-1590.4132080078125,-11.70222282409668
ipsl-cm5-mr_rcp85,5,-522.4274291992188,-18.477083206176758
ipsl-cm5-mr_rcp85,6,-311.5003967285156,-18.673751831054688
miroc5_rcp26,1,-228.7107696533203,-22.43744468688965
miroc5_rcp26,2,28.950698852539062,-22.388092041015625
miroc5_rcp26,3,-27.609899520874023,-13.262468338012695
miroc5_rcp26,4,-1402.551513671875,-11.32257080078125
miroc5_rcp26,5,-422.1642761230469,-18.2072811126709
miroc5_rcp26,6,-244.81837463378906,-19.696184158325195
miroc5_rcp85,1,-228.7107696533203,-22.43744468688965
miroc5_rcp85,2,28.950698852539062,-22.388092041015625
miroc5_rcp85,3,-27.609899520874023,-13.262468338012695
miroc5_rcp85,4,-1402.551513671875,-11.32257080078125
miroc5_rcp85,5,-422.1642761230469,-18.2072811126709
miroc5_rcp85,6,-244.81837463378906,-19.696184158325195
noresm1-m_rcp85,1,-115.34528350830078,-20.54593276977539
noresm1-m_rcp85,2,17.879426956176758,-21.672592163085938
noresm1-m_rcp85,3,-383.90631103515625,-13.455767631530762
noresm1-m_rcp85,4,-1832.0081787109375,-11.055685043334961
noresm1-m_rcp85,5,-410.3355407714844,-18.971426010131836
noresm1-m_rcp85,6,-65.25814056396484,-19.407190322875977
ukesm1-0-ll_ssp585,1,1.3192068338394165,-23.673980712890625
ukesm1-0-ll_ssp585,2,140.7347412109375,-23.223651885986328
ukesm1-0-ll_ssp585,3,192.65003967285156,-14.069748878479004
ukesm1-0-ll_ssp585,4,-1275.1143798828125,-12.522232055664062
ukesm1-0-ll_ssp585,5,-200.69305419921875,-19.344085693359375
ukesm1-0-ll_ssp585,6,-32.003814697265625,-21.055694580078125
