model,numerics,ice_flow,initialization,initial_year,initial_smb,velocity,bed,surface_thickness,ghf,res_min,res_max
AWI_ISSM1,FE,HO,DAV,1990,RA3,J,M,None,G,1,7.5
AWI_ISSM2,FE,HO,DAV,1990,RA3,J,M,None,G,1,7.5
AWI_ISSM3,FE,HO,DAV,1990,RA3,J,M,None,G,0.75,7.5
BGC_BISICLES,FV,SSA,DAV,2000,HIR,RM,M,None,None,1.2,4.8
GSFC_ISSM,FE,SSA,DAV,2007,RA3,J,M,None,SR,0.5,25
PIK_SICOPOLIS1,FD,SIA,CYC_NDS,1990,ISMB,J,M,M,G,5,5
PIK_SICOPOLIS2,FD,HYB,CYC_NDS,1990,ISMB,J,M,M,G,5,5
IMAU_IMAUICE1,FD,SIA,SP_NDM,1990,RA3,None,M,None,SR,16,16
IMAU_IMAUICE2,FD,SIA,SP_NDM,1990,RA3,None,M,None,SR,8,8
JPL_ISSM,FE,HYB,DAV,1979,BOX_MAR,RM,M,None,SR,0.25,15
JPL_ISSMPALEO,FE,SSA,SP_DAV,1979,BOX_RA3,RM,M,None,SR,3,30
LSCE_GRISLI,FD,HYB,SP_DAS,1995,MAR,None,M,M,SR,5,5
MUN_GSM1,FD_FV5,HYB,CYC_NDM,1980,MAR,None,B,None,MIX,5,14
MUN_GSM2,FD_FV5,HYB,CYC_NDM,1980,MAR,None,B,None,MIX,5,14
NCAR_CISM,FE,HO,SP_DAI,1990,MAR,None,M,M,SR,4,4
UAF_PISM1,FD,HYB,CYC_NDS,2008,RA1,None,M,M,SR,0.9,0.9
UAF_PISM2,FD,HYB,CYC_NDS,2008,RA1,None,M,M,SR,0.9,0.9
UCIJPL_ISSM1,FE,HO,DAV,2007,RA1,RM,M,None,SR,0.5,30
UCIJPL_ISSM2,FE,HO,DAV,2007,RA1,RM,M,None,SR,0.2,20
VUB_GISM,FD,HO,CYC_DAI,1990,MAR,None,M,M,SR,5,5
VUW_PISM,FD,HYB,SP_NDS,2000,RA1,None,M,None,SR,2,2
