model,numerics,stress_balance,resolution,init_method,initial_year,melt,ice_front,open_melt_param,standard_melt_param
AWI_PISM1,FD,Hybrid,8,Eq,2005,Sub-grid,StR,Quad,Nonlocal
DOE_MALI,FE/FV,HO,variable,DA_relax,2015,Floating_condition,Fix,None,Nonlocal_anom
PIK_SICOPOLIS,FD,Hybrid,8,SP_icethickness,1990,Floating_condition,MH,None,Nonlocal
IMAU_IMAUICE1,FD,Hybrid,32,Eq,1978,No,Fix,None,Local_anom
IMAU_IMAUICE2,FD,Hybrid,32,SP_icethickness,1978,No,Fix,None,Local_anom
JPL1_ISSM,FE,SSA,variable,DA_relax,2007,Sub-grid,Fix,None,Nonlocal
LSCE_GRISLI,FD,Hybrid,16,SP_icethickness,1995,None,MH,None,Nonlocal
NCAR_CISM,FE/FV,L1L2,4,SP_icethickness,1995,Sub-grid,RO,Nonlocal_Slope,Nonlocal_anom
PIK_PISM1,FD,Hybrid,8,SP,1850,Sub-grid,StR,PICO,None
PIK_PISM2,FD,Hybrid,8,SP,2015,Sub-grid,StR,PICO,None
UCIJPL_ISSM,FE,HO,variable,DA,2007,Sub-grid,Fix,PICOP,Nonlocal
fETISh_16km,FD,Hybrid,16,DA_geom,2005,None,Div,Plume,Nonlocal
fETISh_32km,FD,Hybrid,32,DA_geom,2005,None,Div,Plume,Nonlocal
UTAS_ElmerIce,FE,Stokes,variable,DA,2015,Sub-grid,Fix,None,Local
VUB_AISMPALEO,FD,SIA_SSA,20,SP,2000,None,MH,None,Nonlocal_anom
VUW_PISM,FD,Hybrid,16,SP,2015,No,StR,Lin,None
