group,model,rhoi,rhow
AWI,ISSM1,910.0,1000.0
AWI,ISSM2,910.0,1000.0
AWI,ISSM3,910.0,1000.0
BGC,BISICLES,917.0,1023.0
GSFC,ISSM,917.0,1023.0
ILTS_PIK,SICOPOLIS1,910.0,1028.0
ILTS_PIK,SICOPOLIS2,910.0,1028.0
IMAU,IMAUICE1,910.0,1028.0
IMAU,IMAUICE2,910.0,1028.0
JPL,ISSM,917.0,1023.0
JPL,ISSMPALEO,917.0,1023.0
LSCE,GRISLI,918.0,1028.0
MUN,GSM1,900.0,1028.0
MUN,GSM2,900.0,1028.0
NCAR,CISM,917.0,1026.0
UAF,PISM1,910.0,1028.0
UAF,PISM2,910.0,1028.0
UCIJPL,ISSM1,917.0,1023.0
UCIJPL,ISSM2,917.0,1023.0
VUB,GISM,910.0,1028.0
VUW,PISM,910.0,1028.0
